customer_id,registration_date,segment,region,channel_registered,age_band,first_transaction_date,last_transaction_date,total_transactions,total_value_ksh,monthly_active_months,status,preferred_product,value_flag,is_activated
CUS00112,2024-05-25,Mass Market,Mombasa,Agent,26-35,,,0,0.0,0,Dormant,Digital Loan,,0
CUS00353,2024-08-30,Mass Market,Mombasa,Branch,55+,2024-09-18,2024-11-22,4,9569.17,1,Dormant,Bill Pay,,1
CUS01318,2024-01-02,Mass Affluent,Nairobi,Agent,18-25,,,0,0.0,0,Dormant,Mobile Transfer,,0
CUS01135,2024-05-05,Mass Affluent,Nairobi,Mobile App,36-45,2024-05-22,2024-07-16,48,221643.54,4,Churned,Airtime,,1
CUS00858,2024-08-16,Mass Affluent,Mombasa,Agent,18-25,,,0,0.0,0,Dormant,Digital Loan,,0
CUS00675,2024-03-09,Mass Market,Kisumu,Branch,26-35,,,0,0.0,0,Dormant,Merchant Pay,,0
CUS00527,2024-09-16,Mass Affluent,Mombasa,Agent,36-45,2024-09-23,2024-12-27,12,124627.37,1,Active,Bill Pay,,1
CUS01458,2024-07-30,Corporate,Nairobi,Agent,26-35,2024-08-13,2024-08-28,85,24402644.5,3,Churned,Digital Loan,,1
CUS00571,2024-01-01,Mass Market,Nairobi,Agent,46-55,2024-01-09,2024-10-13,12,15785.96,3,Dormant,Mobile Transfer,,1
CUS00923,2024-05-06,Mass Market,Mombasa,Mobile App,36-45,2024-05-14,2024-07-23,10,7981.39,2,Churned,Bill Pay,,1
CUS00394,2024-08-17,Mass Affluent,Eldoret,USSD,36-45,2024-08-22,2024-09-04,23,125188.53,2,Churned,Bill Pay,,1
CUS01406,2024-11-18,SME,Nairobi,Mobile App,18-25,2024-12-04,2024-12-06,11,671595.93,1,,Digital Loan,,1
CUS01404,2024-05-09,Mass Affluent,Nakuru,USSD,26-35,2024-05-11,2024-09-12,30,260297.54,3,Churned,Bill Pay,,1
CUS01698,2024-07-24,Mass Market,Nairobi,Agent,Unknown,2024-08-04,2024-08-25,5,9538.87,1,Churned,Mobile Transfer,,1
CUS01588,2024-03-15,Mass Market,Nairobi,USSD,26-35,,,0,0.0,0,Dormant,Bill Pay,,0
CUS00434,2024-10-10,Mass Market,Nakuru,Mobile App,18-25,2024-10-24,2024-11-11,2,4512.18,1,Dormant,Bill Pay,,1
CUS01293,2024-04-08,Mass Market,Mombasa,USSD,36-45,,,0,0.0,0,Dormant,Bill Pay,,0
CUS00577,2024-09-14,Mass Market,Nakuru,Mobile App,Unknown,2024-10-01,2024-11-22,4,4457.63,1,Dormant,Mobile Transfer,,1
CUS01090,2024-10-05,Mass Affluent,Mombasa,Branch,26-35,2024-10-09,2024-12-05,7,31405.56,1,Active,Bill Pay,,1
CUS01532,2024-08-26,Mass Market,Nairobi,Branch,36-45,,,0,0.0,0,Dormant,Merchant Pay,,0
CUS01284,2024-01-22,Mass Market,Nairobi,Mobile App,26-35,,,0,0.0,0,Dormant,Bill Pay,,0
CUS00430,2024-02-17,Mass Market,Nairobi,Mobile App,18-25,2024-02-24,2024-03-26,13,29203.55,3,Churned,Mobile Transfer,,1
CUS00612,2024-09-15,Mass Affluent,Nairobi,USSD,Unknown,2024-09-17,2024-12-03,6,52732.49,1,Active,Digital Loan,,1
CUS00531,2024-06-24,Mass Affluent,Eldoret,Mobile App,18-25,2024-07-09,2024-10-10,22,281842.29,3,Dormant,Mobile Transfer,,1
CUS00174,2024-02-23,Mass Market,Mombasa,Agent,26-35,2024-02-28,2024-06-29,11,24963.08,3,Churned,Mobile Transfer,,1
CUS00290,2024-06-19,Mass Market,Nakuru,Branch,26-35,2024-07-04,2024-08-16,7,15553.51,2,Churned,Digital Loan,,1
CUS01466,2024-08-31,SME,Kisumu,USSD,26-35,2024-09-08,2024-10-01,20,520832.97,2,Churned,Bill Pay,,1
CUS01659,2024-04-20,Mass Affluent,Nairobi,USSD,26-35,2024-05-10,2024-07-28,23,134891.78,5,Churned,Digital Loan,,1
CUS00412,2024-05-09,SME,Kisumu,Agent,18-25,2024-05-19,2024-06-11,28,1464160.65,4,Churned,Digital Loan,,1
CUS01443,2024-04-26,Mass Affluent,Mombasa,Mobile App,18-25,2024-05-08,2024-11-23,37,122007.56,5,Dormant,Mobile Transfer,,1
CUS00536,2024-06-26,Mass Market,Nairobi,Mobile App,46-55,,,0,0.0,0,Dormant,Merchant Pay,,0
CUS01336,2024-08-14,Mass Market,Kisumu,Mobile App,46-55,2024-08-20,2024-12-18,2,2841.02,1,Active,Mobile Transfer,,1
CUS00813,2024-04-22,Mass Affluent,Nakuru,Branch,36-45,2024-05-01,2024-05-06,33,427453.85,4,Churned,Bill Pay,,1
CUS01933,2024-06-25,Mass Market,Nairobi,Mobile App,26-35,2024-07-10,2024-07-27,7,14555.59,2,Churned,Mobile Transfer,,1
CUS01190,2024-06-08,SME,Nakuru,Mobile App,46-55,2024-06-19,2024-09-15,62,3373602.82,3,Churned,Bill Pay,,1
CUS01001,2024-02-25,Mass Market,Kisumu,Mobile App,36-45,2024-03-11,2024-03-11,10,0.0,2,Churned,Mobile Transfer,Review Required,1
CUS00070,2024-05-07,Mass Market,Nairobi,Mobile App,18-25,,,0,0.0,0,Dormant,Merchant Pay,,0
CUS00652,2024-04-15,SME,Mombasa,Agent,18-25,2024-05-02,2024-12-11,44,2227657.3,4,Active,Merchant Pay,,1
CUS00562,2024-06-17,Mass Market,Mombasa,USSD,46-55,2024-07-07,2024-12-10,3,7997.5,1,Active,Bill Pay,,1
CUS01332,2024-07-02,Mass Market,Nairobi,USSD,26-35,2024-07-09,2024-09-06,4,8056.19,1,Churned,Bill Pay,,1
CUS00882,2024-08-22,Mass Market,Kisumu,Mobile App,26-35,2024-09-11,2024-10-30,4,6343.89,1,Dormant,Bill Pay,,1
CUS01387,2024-03-23,Mass Market,Nairobi,Branch,26-35,2024-04-08,2024-07-26,8,13014.66,3,Churned,Merchant Pay,,1
CUS00711,2024-05-14,Mass Market,Nairobi,Mobile App,18-25,,,0,0.0,0,Dormant,Bill Pay,,0
CUS00745,2024-05-28,SME,Nairobi,Mobile App,36-45,2024-05-30,2024-06-26,34,2094020.73,4,Churned,Mobile Transfer,,1
CUS01556,2024-09-16,Mass Affluent,Nairobi,Agent,26-35,,,0,0.0,0,Dormant,Bill Pay,,0
CUS01299,2024-07-18,Mass Market,Kisumu,Mobile App,26-35,2024-07-22,2024-12-05,3,7328.68,1,Active,Mobile Transfer,,1
CUS00125,2024-03-07,SME,Nairobi,Branch,36-45,2024-03-23,2024-07-14,56,1448746.2,5,Churned,Bill Pay,,1
CUS00248,2024-05-02,Mass Affluent,Nakuru,Mobile App,26-35,2024-05-08,2024-07-03,31,359546.66,5,Churned,Airtime,,1
CUS01262,2024-06-03,Mass Market,Nairobi,Mobile App,26-35,2024-06-10,2024-11-04,5,8697.02,1,Dormant,Mobile Transfer,,1
CUS00238,2024-07-01,Mass Market,Nairobi,Agent,36-45,,,0,0.0,0,Dormant,Mobile Transfer,,0
CUS01864,2024-07-14,Mass Market,Mombasa,Mobile App,36-45,2024-08-04,2024-12-08,7,5238.34,2,Active,Digital Loan,,1
CUS01772,2024-02-24,Mass Market,Nairobi,Branch,46-55,2024-03-08,2024-12-01,15,30905.67,3,Active,Mobile Transfer,,1
